,id,RA,Dec,Vls,Glon,Glat,SGL,SGB,velocity_observed,distance_observed,velocity_adjusted,distance_adjusted
0,27,6.1965,-20.7324,16092,77.93222568032145,-81.17222698316546,274.47664533069656,1.2929754289778594,16092.0,[214.17345220006362],16092.0,[203.84080304808185]
1,76,9.8597,6.734,12139,117.59732364800178,-56.01341363692936,301.90532220820035,5.547911405331643,12139.0,[159.25049636593025],12139.0,[152.82169835169512]
2,119,14.0672,-1.2561,13460,125.69722510546026,-64.10190758205133,295.3258548948786,-0.6414148019779979,13460.0,[181.12532913503836],13460.0,[173.49393247053945]
3,147,17.1579,2.2684,13163,131.62935078814934,-60.312675978857996,299.55862415533363,-2.659124705056551,13163.0,[175.7747123236299],13163.0,[168.21615909588016]
4,151,17.213,-15.4072,16064,142.85776692298924,-77.60008786414332,282.44605713631216,-7.349658411048976,16064.0,[217.76641884693586],16064.0,[205.50306486589014]
5,168,18.7404,0.4311,13597,135.48168765611075,-61.86611645335192,298.2198157407421,-4.682364719115788,13597.0,[183.58751139987362],13597.0,[174.92988932742406]
6,189,20.8597,1.7049,9720,139.164461486798,-60.15442288527014,300.03383498619553,-6.371256827424725,9720.0,[128.97214899258068],9720.0,[126.29972946633377]
7,193,21.2814,8.6992,14676,136.93612421868988,-53.25409514017907,306.8954757634906,-4.801555622816081,14676.0,[200.56729925695433],14676.0,[192.2202671737697]
8,194,21.4952,-1.3394,5495,142.18039144907513,-62.913029476164645,297.25756616721105,-7.814104223097577,5495.0,[68.94957459402075],5495.0,[66.77890888252932]
9,195,21.7281,19.2139,12841,134.38872481278383,-42.8673063797719,317.0914067635826,-2.120473785928472,12841.0,[172.30698665977215],12841.0,[165.9410740071448]
